"FlightDate","Marketing_Airline_Network","TotalFlights"
"2023-01-01","""AA""","3982"
"2023-01-01","""WN""","3918"
"2023-01-01","""G4""","228"
"2023-01-01","""HA""","223"
"2023-01-02","""AA""","4730"
"2023-01-02","""WN""","3918"
"2023-01-02","""G4""","455"
"2023-01-02","""HA""","241"
"2023-01-03","""AA""","4615"
"2023-01-03","""WN""","3920"
"2023-01-03","""G4""","446"
"2023-01-03","""HA""","222"
"2023-01-04","""AA""","4488"
"2023-01-04","""WN""","3786"
"2023-01-04","""HA""","220"
"2023-01-04","""G4""","148"
"2023-01-05","""AA""","4125"
"2023-01-05","""WN""","3741"
"2023-01-05","""G4""","396"
"2023-01-05","""HA""","223"
"2023-01-06","""AA""","4123"
"2023-01-06","""WN""","3756"
"2023-01-06","""G4""","380"
"2023-01-06","""HA""","221"
"2023-01-07","""AA""","4289"
"2023-01-07","""WN""","2945"
"2023-01-07","""HA""","208"
"2023-01-07","""G4""","168"
"2023-01-08","""AA""","4677"
"2023-01-08","""WN""","3596"
"2023-01-08","""G4""","402"
"2023-01-08","""HA""","210"
"2023-01-09","""AA""","4683"
"2023-01-09","""WN""","3756"
"2023-01-09","""G4""","378"
"2023-01-09","""HA""","222"
"2023-01-10","""AA""","4372"
"2023-01-10","""WN""","3677"
"2023-01-10","""HA""","210"
"2023-01-10","""G4""","40"
"2023-01-11","""AA""","4489"
"2023-01-11","""WN""","3673"
"2023-01-11","""HA""","212"
"2023-01-11","""G4""","112"
"2023-01-12","""AA""","4823"
"2023-01-12","""WN""","3751"
"2023-01-12","""G4""","392"
"2023-01-12","""HA""","222"
"2023-01-13","""AA""","4825"
"2023-01-13","""WN""","3753"
"2023-01-13","""G4""","380"
"2023-01-13","""HA""","219"
"2023-01-14","""AA""","3582"
"2023-01-14","""WN""","2944"
"2023-01-14","""HA""","206"
"2023-01-14","""G4""","158"
"2023-01-15","""AA""","4231"
"2023-01-15","""WN""","3589"
"2023-01-15","""G4""","396"
"2023-01-15","""HA""","208"
"2023-01-16","""AA""","4512"
"2023-01-16","""WN""","3754"
"2023-01-16","""G4""","378"
"2023-01-16","""HA""","223"
"2023-01-17","""AA""","4456"
"2023-01-17","""WN""","3675"
"2023-01-17","""HA""","210"
"2023-01-17","""G4""","42"
"2023-01-18","""AA""","4490"
"2023-01-18","""WN""","3673"
"2023-01-18","""HA""","210"
"2023-01-18","""G4""","112"
"2023-01-19","""AA""","4824"
"2023-01-19","""WN""","3751"
"2023-01-19","""G4""","392"
"2023-01-19","""HA""","222"
"2023-01-20","""AA""","4825"
"2023-01-20","""WN""","3753"
"2023-01-20","""G4""","372"
"2023-01-20","""HA""","219"
"2023-01-21","""AA""","4112"
"2023-01-21","""WN""","2944"
"2023-01-21","""HA""","206"
"2023-01-21","""G4""","158"
"2023-01-22","""AA""","4754"
"2023-01-22","""WN""","3589"
"2023-01-22","""G4""","396"
"2023-01-22","""HA""","208"
"2023-01-23","""AA""","4511"
"2023-01-23","""WN""","3754"
"2023-01-23","""G4""","370"
"2023-01-23","""HA""","223"
"2023-01-24","""AA""","4456"
"2023-01-24","""WN""","3675"
"2023-01-24","""HA""","210"
"2023-01-24","""G4""","42"
"2023-01-25","""AA""","4490"
"2023-01-25","""WN""","3673"
"2023-01-25","""HA""","210"
"2023-01-25","""G4""","112"
"2023-01-26","""AA""","4824"
"2023-01-26","""WN""","3751"
"2023-01-26","""G4""","402"
"2023-01-26","""HA""","223"
"2023-01-27","""AA""","4825"
"2023-01-27","""WN""","3753"
"2023-01-27","""G4""","372"
"2023-01-27","""HA""","219"
"2023-01-28","""AA""","4112"
"2023-01-28","""WN""","2944"
"2023-01-28","""HA""","206"
"2023-01-28","""G4""","162"
"2023-01-29","""AA""","4753"
"2023-01-29","""WN""","3589"
"2023-01-29","""G4""","406"
"2023-01-29","""HA""","208"
"2023-01-30","""AA""","4509"
"2023-01-30","""WN""","3754"
"2023-01-30","""G4""","370"
"2023-01-30","""HA""","223"
"2023-01-31","""AA""","4456"
"2023-01-31","""WN""","3675"
"2023-01-31","""HA""","210"
"2023-01-31","""G4""","50"
