"Tail_Number","NumberOfFlights","Average_Departure_Delay"
"""N923SW""","13","211.53846153846155"
"""N792AN""","8","205.875"
"""N4064J""","2","170.5"
"""N514DN""","7","150.57142857142858"
"""N511DN""","2","147.5"
"""N88346""","17","143.2941176470588"
"""N851NW""","4","129.75"
"""N503DN""","5","127.8"
"""N66051""","11","124.54545454545455"
"""N409DX""","2","120.0"
"""N792UA""","19","117.36842105263158"
"""N842MH""","5","115.6"
"""N858NW""","8","110.875"
"""N798AN""","21","105.38095238095238"
"""N8001N""","69","105.1159420289855"
"""N78009""","5","103.0"
"""N656CA""","30","93.53333333333333"
"""N834MH""","10","93.5"
"""N8932C""","23","91.6086956521739"
"""N844MH""","4","90.75"
"""N776AN""","16","90.75"
"""N952LR""","25","90.08"
"""N706FR""","75","84.26666666666667"
"""N979JT""","12","83.25"
"""N814NW""","10","82.9"
"""N189DN""","14","82.42857142857143"
"""N9029F""","61","81.67213114754098"
"""N533NK""","32","81.65625"
"""N838NN""","51","81.6470588235294"
"""333NV""","50","80.94"
"""N36962""","4","79.5"
"""N171DZ""","31","78.12903225806451"
"""N103NN""","54","71.03703703703704"
"""282NV""","26","71.0"
"""N604FR""","106","70.25471698113208"
"""N818AL""","16","70.0625"
"""N510DN""","7","70.0"
"""N180DN""","25","67.44"
"""N2047J""","36","67.38888888888889"
"""N960AN""","55","66.05454545454545"
"""N420DX""","9","65.77777777777777"
"""N819NW""","4","65.25"
"""N78060""","26","65.0"
"""N783SK""","47","63.95744680851064"
"""N785UA""","13","63.53846153846154"
"""N641UA""","2","63.5"
"""N837AN""","11","63.0"
"""N174US""","92","63.0"
"""N573DZ""","44","62.79545454545455"
"""N29961""","3","62.666666666666664"
"""N76064""","20","62.5"
"""N895DN""","54","62.129629629629626"
"""N9002U""","37","61.891891891891895"
"""N205SY""","88","60.75"
"""N410DZ""","9","60.44444444444444"
"""N827NW""","7","60.285714285714285"
"""N518DZ""","13","60.15384615384615"
"""N767AJ""","10","60.1"
"""N505DN""","7","60.0"
"""N14214""","8","58.625"
"""N173DZ""","15","57.93333333333333"
"""N368JB""","26","57.34615384615385"
"""202NV""","54","57.18518518518518"
"""N66056""","18","57.0"
"""N856NW""","5","56.6"
"""N24972""","6","56.5"
"""N361FR""","122","56.48360655737705"
"""N134SY""","35","56.08571428571429"
"""222NV""","96","55.84375"
"""N68061""","16","55.8125"
"""N412DX""","20","55.65"
"""N823NW""","9","55.55555555555556"
"""N597JB""","76","55.03947368421053"
"""294NV""","66","54.75757575757576"
"""N318FR""","124","54.403225806451616"
"""N919XJ""","28","54.357142857142854"
"""N725UW""","37","54.189189189189186"
"""N672UA""","2","54.0"
"""N26909""","9","53.666666666666664"
"""N29985""","3","53.333333333333336"
"""N806NW""","6","52.333333333333336"
"""N672NK""","35","52.25714285714286"
"""N718AN""","4","52.25"
"""N215WN""","14","52.214285714285715"
"""N512NK""","96","51.854166666666664"
"""N14001""","13","51.07692307692308"
"""N874AN""","17","51.05882352941177"
"""N875DN""","36","51.02777777777778"
"""N793AN""","9","50.77777777777778"
"""277NV""","84","50.654761904761905"
"""N2086J""","44","50.52272727272727"
"""N765AN""","12","50.166666666666664"
"""N70020""","63","49.77777777777778"
"""N930SW""","65","49.246153846153845"
"""218NV""","63","49.17460317460318"
"""N750AN""","10","48.3"
"""N406UA""","21","48.285714285714285"
"""N347NB""","122","48.23770491803279"
"""N38950""","7","48.142857142857146"
"""256NV""","49","48.08163265306123"
"""N10156""","72","48.0"
"""N773XF""","68","47.8235294117647"
"""N14143""","99","47.77777777777778"
"""N402DX""","9","47.333333333333336"
"""N746JB""","72","47.013888888888886"
"""N961DZ""","1","47.0"
"""N957LR""","63","46.84126984126984"
"""N395HA""","46","46.82608695652174"
"""N2016J""","34","46.76470588235294"
"""N111US""","110","46.736363636363635"
"""N29971""","6","46.5"
"""N154UW""","76","46.35526315789474"
"""N2748U""","18","46.166666666666664"
"""N82366""","48","45.895833333333336"
"""N386HA""","34","45.73529411764706"
"""N615UX""","74","45.7027027027027"
"""N57857""","3","45.666666666666664"
"""N9010R""","33","45.484848484848484"
"""N701FR""","103","45.359223300970875"
"""N504DN""","5","45.2"
"""N607UX""","95","44.93684210526316"
"""N709BR""","70","44.92857142857143"
"""N591JB""","74","44.810810810810814"
"""N708JB""","9","44.44444444444444"
"""N17196""","6","44.333333333333336"
"""N9012""","53","44.22641509433962"
"""N216FR""","107","44.149532710280376"
"""278NV""","45","44.022222222222226"
"""N780AN""","2","44.0"
"""N21723""","71","43.267605633802816"
"""N955NN""","79","43.10126582278481"
"""N704FR""","37","43.054054054054056"
"""N554UW""","79","42.89873417721519"
"""N587JB""","46","42.71739130434783"
"""N756US""","96","42.677083333333336"
"""N729SW""","18","42.666666666666664"
"""N804AN""","43","42.51162790697674"
"""N16183""","90","42.5"
"""N77012""","2","42.5"
"""N321US""","119","42.2436974789916"
"""N9023N""","58","42.241379310344826"
"""N610UX""","83","42.10843373493976"
"""N85352""","61","42.08196721311475"
"""N841VA""","26","42.07692307692308"
"""N965SW""","82","42.0609756097561"
"""N684NK""","119","42.03361344537815"
"""N16008""","14","42.0"
"""N644JB""","92","41.81521739130435"
"""N937EV""","91","41.68131868131868"
"""N413UA""","87","41.67816091954023"
"""N23983""","3","41.666666666666664"
"""N465SW""","90","41.611111111111114"
"""N14179""","74","41.5945945945946"
"""N329DN""","103","41.41747572815534"
"""N426AW""","82","41.23170731707317"
"""N635JB""","48","41.145833333333336"
"""N440UA""","44","41.06818181818182"
"""N242SY""","88","40.90909090909091"
"""N717FR""","64","40.859375"
"""N487UA""","50","40.84"
"""N805NW""","4","40.75"
"""N216HA""","40","40.575"
"""N763US""","110","40.50909090909091"
"""N915AN""","95","40.410526315789475"
"""N506DN""","5","40.2"
"""N87302""","81","40.17283950617284"
"""N618UX""","77","40.077922077922075"
"""N924NK""","100","40.03"
"""N310FR""","110","39.96363636363636"
"""N381HA""","31","39.87096774193548"
"""N5007E""","84","39.773809523809526"
"""N517DN""","76","39.76315789473684"
"""N791UA""","20","39.75"
"""N323FR""","92","39.73913043478261"
"""261NV""","102","39.73529411764706"
"""N958SW""","91","39.38461538461539"
"""N16170""","72","39.27777777777778"
"""N829SK""","22","39.27272727272727"
"""N875AS""","65","39.246153846153845"
"""N384FR""","131","39.045801526717554"
"""N116AN""","61","38.91803278688525"
"""N633JB""","78","38.87179487179487"
"""N937NN""","17","38.76470588235294"
"""N782SK""","102","38.754901960784316"
"""N767UW""","125","38.744"
"""N309FR""","115","38.721739130434784"
"""N790SK""","84","38.535714285714285"
"""N809JB""","83","38.51807228915663"
"""N662JB""","78","38.42307692307692"
"""N816NW""","12","38.333333333333336"
"""N721UW""","108","38.2962962962963"
"""N9016""","56","38.267857142857146"
"""N815UA""","64","38.015625"
"""N779UA""","65","38.0"
"""N754AN""","19","37.89473684210526"
"""N568AS""","14","37.857142857142854"
"""N915NK""","98","37.83673469387755"
"""N974JT""","86","37.73255813953488"
"""N87360""","59","37.440677966101696"
"""N77430""","72","37.375"
"""N784SK""","86","37.325581395348834"
"""N530NK""","110","37.27272727272727"
"""N916SW""","32","37.25"
"""N675NK""","110","37.24545454545454"
"""N235FR""","117","37.162393162393165"
"""N789AN""","26","37.15384615384615"
"""N328FR""","100","37.15"
"""N652NK""","115","36.86086956521739"
"""N913JB""","62","36.854838709677416"
"""N3758Y""","104","36.84615384615385"
"""272NV""","33","36.75757575757576"
"""N211UA""","72","36.68055555555556"
"""N731AN""","3","36.666666666666664"
"""N686NK""","114","36.62280701754386"
"""N93003""","66","36.56060606060606"
"""N3113J""","82","36.53658536585366"
"""N161PQ""","89","36.52808988764045"
"""N394DA""","69","36.52173913043478"
"""N737US""","106","36.45283018867924"
"""N27964""","5","36.4"
"""N517NK""","93","36.39784946236559"
"""N362FR""","110","36.39090909090909"
"""N877NN""","83","36.325301204819276"
"""N206UA""","25","36.32"
"""N128UW""","119","36.285714285714285"
"""N705FR""","92","36.17391304347826"
"""N712EV""","63","36.15873015873016"
"""276NV""","38","36.078947368421055"
"""N505DZ""","83","36.036144578313255"
"""N723FR""","104","35.89423076923077"
"""N76517""","63","35.76190476190476"
"""331NV""","38","35.6578947368421"
"""N3065J""","16","35.625"
