"flightdate","dayofweek","destination","flights"
"2023-01-01","7","""Kahului to ""Honolulu","36"
"2023-01-01","7","""Orlando to ""Grand Rapids","1"
"2023-01-02","1","""Honolulu to ""Kahului","37"
"2023-01-02","1","""Valparaiso to ""Dallas","1"
"2023-01-03","2","""New York to ""Chicago","37"
"2023-01-03","2","""Fargo to ""Sanford","1"
"2023-01-04","3","""Los Angeles to ""Las Vegas","42"
"2023-01-04","3","""Charlotte Amalie to ""Philadelphia","1"
"2023-01-05","4","""Chicago to ""New York","38"
"2023-01-05","4","""Eagle to ""Houston","1"
"2023-01-06","5","""New York to ""Chicago","38"
"2023-01-06","5","""Detroit to ""Honolulu","1"
"2023-01-07","6","""Las Vegas to ""Los Angeles","33"
"2023-01-07","6","""Greer to ""Philadelphia","1"
"2023-01-08","7","""New York to ""Chicago","46"
"2023-01-08","7","""Dayton to ""Punta Gorda","1"
"2023-01-09","1","""New York to ""Boston","52"
"2023-01-09","1","""Phoenix to ""South Bend","1"
"2023-01-10","2","""New York to ""Boston","51"
"2023-01-10","2","""Roswell to ""Phoenix","1"
"2023-01-11","3","""New York to ""Chicago","50"
"2023-01-11","3","""Albany to ""Orlando","1"
"2023-01-12","4","""Boston to ""New York","51"
"2023-01-12","4","""Denver to ""Syracuse","1"
"2023-01-13","5","""Chicago to ""New York","50"
"2023-01-13","5","""Atlanta to ""Cedar Rapids/Iowa City","1"
"2023-01-14","6","""Miami to ""New York","32"
"2023-01-14","6","""Kona to ""Lihue","1"
"2023-01-15","7","""Chicago to ""New York","45"
"2023-01-15","7","""Sacramento to ""Santa Barbara","1"
"2023-01-16","1","""New York to ""Boston","51"
"2023-01-16","1","""Sanford to ""Bangor","1"
"2023-01-17","2","""Boston to ""New York","51"
"2023-01-17","2","""Miami to ""Fayetteville","1"
"2023-01-18","3","""Boston to ""New York","51"
"2023-01-18","3","""Providence to ""Tampa","1"
"2023-01-19","4","""Boston to ""New York","51"
"2023-01-19","4","""Bristol/Johnson City/Kingsport to ""Sanford","1"
"2023-01-20","5","""Chicago to ""New York","50"
"2023-01-20","5","""Charlotte to ""Cedar Rapids/Iowa City","1"
"2023-01-21","6","""Miami to ""New York","32"
"2023-01-21","6","""Grand Rapids to ""New York","1"
"2023-01-22","7","""New York to ""Chicago","45"
"2023-01-22","7","""Philadelphia to ""Kansas City","1"
"2023-01-23","1","""New York to ""Boston","52"
"2023-01-23","1","""Burbank to ""Albuquerque","1"
"2023-01-24","2","""New York to ""Boston","51"
"2023-01-24","2","""Appleton to ""Charlotte","1"
"2023-01-25","3","""New York to ""Boston","51"
"2023-01-25","3","""Chicago to ""Pensacola","1"
"2023-01-26","4","""Boston to ""New York","52"
"2023-01-26","4","""Flagstaff to ""Dallas/Fort Worth","1"
"2023-01-27","5","""Boston to ""New York","50"
"2023-01-27","5","""St. Louis to ""Fort Lauderdale","1"
"2023-01-28","6","""Honolulu to ""Kahului","32"
"2023-01-28","6","""Milwaukee to ""Baltimore","1"
"2023-01-29","7","""New York to ""Chicago","45"
"2023-01-29","7","""Dallas/Fort Worth to ""Gunnison","1"
"2023-01-30","1","""New York to ""Boston","51"
"2023-01-30","1","""San Jose to ""Minneapolis","1"
"2023-01-31","2","""Boston to ""New York","51"
"2023-01-31","2","""Memphis to ""Salt Lake City","1"
